Sales Report,,,,,,,,,,,,,,,,,
Date,Day,Sales Rep,Product,Units, Price ,Total Sales,City,Region,,,,,,,,,
01 January 2013,Sunday,Isabel  Cross,Nestle Aero Mint Potz,4,495.00,1980,Ranchi,East,,,,,,,,,
02 January 2013,Monday,Cecilia  Manning,Nestle Smarties Pop-Up,2,438.00,876,Trivandrum,South,,,,,,,,,
03 January 2013,Tuesday,Isabel  Cross,Nestle Maxibon Cookie,1,426.00,426,Ranchi,East,,,,,,,,,
04 January 2013,Wednesday,Shari  Silva,Nestle Maxibon Cookie,2,260.00,520,Mysore,South,,,,,,,,,
05 January 2013,Thursday,Trevor  Jones,Nestle Toffee Crumble,4,285.00,1140,Pune,West,,,,,,,,,
06 January 2013,Friday,Trevor  Jones,Nestle Toffee Crumble,2,206.00,412,Pune,West,,,,,,,,,
07 January 2013,Saturday,Trevor  Jones,Nestle Fab,3,222.00,666,Pune,West,,,,,,,,,
08 January 2013,Sunday,Max  Rodgers,Nestle Milky Bar Stick,15,458.00,6870,Nagpur,West,,,,,,,,,
09 January 2013,Monday,Ruben  Nunez,Nestle Rowntree Fruit Pastil,2,304.00,608,Shimla,North,,,,,,,,,
10 January 2013,Tuesday,Salvador  Bass,Nestle Rowntree Fruit Pastil,2,224.00,448,Goa,West,,,,,,,,,
11 January 2013,Wednesday,Rachel  Gomez,Nestle Kit Kat Cone,2,318.00,636,Delhi,North,,,,,,,,,
12 January 2013,Thursday,Christina  Fuller,Nestle Fab,2,165.00,330,Nagpur,West,,,,,,,,,
13 January 2013,Friday,Andrew  Meyer,Nestle Aero Mint Potz,6,167.00,1002,Mumbai,West,,,,,,,,,
14 January 2013,Saturday,Don  Gonzales,Nestle Toffee Crumble,4,431.00,1724,Mysore,South,,,,,,,,,
15 January 2013,Sunday,Ruben  Nunez,Nestle Fab,3,342.00,1026,Srinagar,North,,,,,,,,,
16 January 2013,Monday,Shari  Silva,Nestle Rowntree Fruit Pastil,2,180.00,360,Mysore,South,,,,,,,,,
17 January 2013,Tuesday,Herman  Williams,Nestle Fab,1,435.00,435,Darjeeling,East,,,,,,,,,
18 January 2013,Wednesday,Ruben  Nunez,Nestle Smarties Pop-Up,19,193.00,3667,Ahmedabad,West,,,,,,,,,
19 January 2013,Thursday,Beth  Tucker,Nestle Rowntree Fruit Pastil,3,437.00,1311,Pune,West,,,,,,,,,
20 January 2013,Friday,Marian  Hill,Nestle Toffee Crumble,2,298.00,596,Trivandrum,South,,,,,,,,,
21 January 2013,Saturday,Carla  Mccormick,Nestle Smarties Pop-Up,1,247.00,247,Varanasi,North,,,,,,,,,
22 January 2013,Sunday,Brooke  Horton,Nestle Smarties Pop-Up,2,271.00,542,Nainital,North,,,,,,,,,
23 January 2013,Monday,Bethany  Pena,Nestle Rolo Potz,3,297.00,891,Nagpur,West,,,,,,,,,
24 January 2013,Tuesday,Rachel  Gomez,Nestle Rolo Potz,2,253.00,506,Delhi,North,,,,,,,,,
25 January 2013,Wednesday,Sylvester  Morales,Nestle Smarties Pop-Up,1,298.00,298,Mumbai,West,,,,,,,,,
26 January 2013,Thursday,Kyle  Carr,Nestle Rowntree Fruit Pastil,2,292.00,584,Delhi,North,,,,,,,,,
27 January 2013,Friday,Salvador  Bass,Nestle Kit Kat Cone,1,491.00,491,Goa,West,,,,,,,,,
28 January 2013,Saturday,Trevor  Jones,Nestle Rowntree Fruit Pastil,2,401.00,802,Pune,West,,,,,,,,,
29 January 2013,Sunday,Brooke  Horton,Nestle Rolo Potz,2,255.00,510,Nainital,North,,,,,,,,,
30 January 2013,Monday,Marian  Hill,Nestle Milky Bar Stick,1,231.00,231,Trivandrum,South,,,,,,,,,
31 January 2013,Tuesday,Tracy  Reed,Nestle Maxibon Cookie,3,356.00,1068,Agra,North,,,,,,,,,
01 February 2013,Wednesday,Trevor  Jones,Nestle Toffee Crumble,1,228.00,228,Pune,West,,,,,,,,,
02 February 2013,Thursday,Arturo  Francis,Nestle Smarties Pop-Up,3,383.00,1149,Ranchi,East,,,,,,,,,
03 February 2013,Friday,Bobbie  Ryan,Nestle Smarties Pop-Up,2,433.00,866,Darjeeling,East,,,,,,,,,
04 February 2013,Saturday,Isabel  Cross,Nestle Aero Mint Potz,3,290.00,870,Ranchi,East,,,,,,,,,
05 February 2013,Sunday,Rachel  Gomez,Nestle Fab,21,207.00,4347,Delhi,North,,,,,,,,,
06 February 2013,Monday,Willie  Vega,Nestle Rowntree Fruit Pastil,3,346.00,1038,Delhi,North,,,,,,,,,
07 February 2013,Tuesday,Shari  Silva,Nestle Aero Mint Potz,2,327.00,654,Mysore,South,,,,,,,,,
08 February 2013,Wednesday,Max  Rodgers,Nestle Aero Mint Potz,3,336.00,1008,Nagpur,West,,,,,,,,,
09 February 2013,Thursday,Lance  Yates,Nestle Maxibon Cookie,2,118.00,236,Srinagar,North,,,,,,,,,
10 February 2013,Friday,Jenny  Garcia,Nestle Toffee Crumble,1,492.00,492,Shimla,North,,,,,,,,,
11 February 2013,Saturday,Peter  Hodges,Nestle Toffee Crumble,2,218.00,436,Shimla,North,,,,,,,,,
12 February 2013,Sunday,Drew  Rogers,Nestle Nobbly Bobbly,3,188.00,564,Delhi,North,,,,,,,,,
13 February 2013,Monday,Marian  Hill,Nestle Smarties Pop-Up,1,361.00,361,Trivandrum,South,,,,,,,,,
14 February 2013,Tuesday,Ruben  Nunez,Nestle Fab,1,494.00,494,Ahmedabad,West,,,,,,,,,
15 February 2013,Wednesday,Mable  Lindsey,Nestle Nobbly Bobbly,19,342.00,6498,Ahmedabad,West,,,,,,,,,
16 February 2013,Thursday,Christina  Fuller,Nestle Maxibon Cookie,2,162.00,324,Nagpur,West,,,,,,,,,
17 February 2013,Friday,Bernadette  Page,Nestle Fab,1,316.00,316,Delhi,North,,,,,,,,,
18 February 2013,Saturday,Lee  Mack,Nestle Aero Mint Potz,2,401.00,802,Delhi,North,,,,,,,,,
19 February 2013,Sunday,Marion  Glover,Nestle Toffee Crumble,2,443.00,886,Durgapur,East,,,,,,,,,
20 February 2013,Monday,Cassandra  Franklin,Nestle Nobbly Bobbly,2,342.00,684,Delhi,North,,,,,,,,,
21 February 2013,Tuesday,Eric  Rose,Nestle Nobbly Bobbly,3,498.00,1494,Mumbai,West,,,,,,,,,
22 February 2013,Wednesday,Christy  Olson,Nestle Toffee Crumble,1,100.00,100,Surat,West,,,,,,,,,
23 February 2013,Thursday,Cecilia  Manning,Nestle Rolo Potz,2,178.00,356,Trivandrum,South,,,,,,,,,
24 February 2013,Friday,Cecilia  Manning,Nestle Milky Bar Stick,1,352.00,352,Trivandrum,South,,,,,,,,,
25 February 2013,Saturday,Jaime  Pearson,Nestle Kit Kat Cone,1,279.00,279,Jodhpur,North,,,,,,,,,
26 February 2013,Sunday,Johanna  Boone,Nestle Rowntree Fruit Pastil,3,300.00,900,Mysore,South,,,,,,,,,
27 February 2013,Monday,Dan  Peterson,Nestle Rowntree Screamers,1,320.00,320,Shimla,North,,,,,,,,,
28 February 2013,Tuesday,Christy  Olson,Nestle Smarties Pop-Up,2,350.00,700,Surat,West,,,,,,,,,
01 March 2013,Wednesday,Lula  Daniels,Nestle Fab,2,231.00,462,Nainital,North,,,,,,,,,
02 March 2013,Thursday,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,477.00,1908,Delhi,North,,,,,,,,,
03 March 2013,Friday,Edwin  Malone,Nestle Aero Mint Potz,3,432.00,1296,Kolkata,East,,,,,,,,,
04 March 2013,Saturday,Dan  Peterson,Nestle Maxibon Cookie,2,149.00,298,Shimla,North,,,,,,,,,
05 March 2013,Sunday,Cassandra  Franklin,Nestle Fab,4,403.00,1612,Delhi,North,,,,,,,,,
06 March 2013,Monday,Shari  Silva,Nestle Kit Kat Cone,2,489.00,978,Mysore,South,,,,,,,,,
07 March 2013,Tuesday,Brooke  Horton,Nestle Fab,15,370.00,5550,Nainital,North,,,,,,,,,
08 March 2013,Wednesday,Ben  Perez,Nestle Fab,2,191.00,382,Goa,West,,,,,,,,,
09 March 2013,Thursday,Willie  Vega,Nestle Milky Bar Stick,1,411.00,411,Delhi,North,,,,,,,,,
10 March 2013,Friday,Bernadette  Page,Nestle Smarties Pop-Up,2,296.00,592,Delhi,North,,,,,,,,,
